center,left,left_URL,left1,left_URL2,left3,left_URL4,left5,right,right6,right7,right8,right9,right10,right11,right12,right13
1,Anthony Davis (college),https://www.basketball-reference.com/players/d/davisan02.html,Anthony Davis,https://www.sports-reference.com/cbb/players/anthony-davis-5.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2013,2020,83.1,1,1,1,2,1,
2,Austin Rivers (college),https://www.basketball-reference.com/players/r/riverau01.html,Austin Rivers,https://www.sports-reference.com/cbb/players/austin-rivers-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,2013,2020,11.5,3,2,2,1,2,
3,Michael Kidd-Gilchrist (college),https://www.basketball-reference.com/players/k/kiddgmi01.html,Michael Kidd-Gilchrist,https://www.sports-reference.com/cbb/players/michael-kidd-gilchrist-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2013,2020,21.0,2,3,3,3,5,
4,Bradley Beal (college),https://www.basketball-reference.com/players/b/bealbr01.html,Bradley Beal,https://www.sports-reference.com/cbb/players/bradley-beal-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=florida,Florida,2013,2020,41.5,4,4,4,4,6,
5,Quincy Miller (college),https://www.basketball-reference.com/players/m/millequ01.html,Quincy Miller,https://www.sports-reference.com/cbb/players/quincy-miller-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=baylor,Baylor,2013,2015,-0.1,5,6,6,7,3,
6,James Michael McAdoo (college),https://www.basketball-reference.com/players/m/mcadoja01.html,James Michael McAdoo,https://www.sports-reference.com/cbb/players/james-michael-mcadoo-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=unc,UNC,2015,2018,2.4,8,5,5,8,4,
7,Marquis Teague (college),https://www.basketball-reference.com/players/t/teaguma01.html,Marquis Teague,https://www.sports-reference.com/cbb/players/marquis-teague-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2013,2018,-0.9,6,7,7,5,7,
8,Le'Bryan Nash (college),https://www.basketball-reference.com/players/n/nashle01.html,Le'Bryan Nash,https://www.sports-reference.com/cbb/players/lebryan-nash-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=okstate,Oklahoma State,,,,9,8,9,6,8,
9,Adonis Thomas (college),https://www.basketball-reference.com/players/t/thomaad01.html,Adonis Thomas,https://www.sports-reference.com/cbb/players/adonis-thomas-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=memphis,Memphis,2014,2014,0.0,7,10,8,17,9,
10,Cody Zeller (college),https://www.basketball-reference.com/players/z/zelleco01.html,Cody Zeller,https://www.sports-reference.com/cbb/players/cody-zeller-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=indiana,Indiana,2014,2020,27.7,11,9,13,15,12,
11,Khem Birch (college),https://www.basketball-reference.com/players/b/birchkh01.html,Khem Birch,https://www.sports-reference.com/cbb/players/khem-birch-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=unlv,UNLV,2018,2020,6.8,25,11,11,9,14,
T11,P.J. Hairston (college),https://www.basketball-reference.com/players/h/hairspj02.html,P.J. Hairston,https://www.sports-reference.com/cbb/players/pj-hairston-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=unc,UNC,2015,2016,0.9,12,13,12,13,20,
13,Myck Kabongo (college),https://www.basketball-reference.com/players/k/kabonmy01.html,Myck Kabongo,https://www.sports-reference.com/cbb/players/myck-kabongo-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=texas,Texas,,,,14,12,10,26,10,
14,Josiah Turner (college),https://www.sports-reference.com/cbb/players/josiah-turner-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=arizona,Arizona,,,,13,20,14,11,15,
15,Kentavious Caldwell-Pope (college),https://www.basketball-reference.com/players/c/caldwke01.html,Kentavious Caldwell-Pope,https://www.sports-reference.com/cbb/players/kentavious-caldwell-pope-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=georgia,Georgia,2014,2020,27.6,10,18,23,12,11,
16,Jabari Brown (college),https://www.basketball-reference.com/players/b/brownja01.html,Jabari Brown,https://www.sports-reference.com/cbb/players/jabari-brown-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=missouri,Missouri,2015,2015,0.4,15,14,25,19,17,
